,year,month_name,hour,speed_average
551,2022,August,14,25
552,2020,August,5,42
553,2020,August,10,31
554,2020,August,3,44
555,2020,August,4,44
556,2020,August,1,44
557,2020,August,22,39
558,2020,August,14,32
559,2020,August,19,31
560,2020,August,8,32
561,2020,August,2,44
562,2020,August,11,31
563,2020,August,12,31
564,2020,August,6,37
565,2020,August,20,34
566,2020,August,23,41
567,2020,August,0,42
568,2020,August,9,31
569,2020,August,7,33
570,2020,August,21,36
571,2020,August,13,31
572,2020,August,16,30
573,2020,August,17,30
574,2020,August,18,30
575,2020,August,15,31
576,2021,September,10,23
577,2021,September,5,34
578,2021,September,16,23
579,2021,September,13,22
580,2021,September,4,38
581,2021,September,3,40
582,2021,September,15,24
583,2021,September,21,31
584,2021,September,0,37
585,2021,September,12,22
586,2021,September,6,29
587,2021,September,18,22
588,2021,September,19,24
589,2021,September,1,38
590,2021,September,22,33
591,2021,September,7,25
592,2021,September,2,40
593,2021,September,14,23
594,2021,September,23,35
595,2021,September,9,23
596,2021,September,20,27
597,2021,September,17,22
598,2021,September,11,23
599,2021,September,8,24
600,2020,September,5,41
601,2020,September,8,30
602,2020,September,14,29
603,2020,September,1,44
604,2020,September,2,44
605,2020,September,16,27
606,2020,September,22,37
607,2020,September,21,34
608,2020,September,6,36
609,2020,September,9,29
610,2020,September,17,27
611,2020,September,15,28
612,2020,September,12,27
613,2020,September,18,27
614,2020,September,10,28
615,2020,September,0,42
616,2020,September,11,27
617,2020,September,7,31
618,2020,September,23,40
619,2020,September,3,44
620,2020,September,20,32
621,2020,September,4,44
622,2020,September,13,28
623,2020,September,19,29
624,2022,September,4,39
625,2022,September,0,39
626,2022,September,14,25
627,2022,September,20,29
628,2022,September,18,21
629,2022,September,9,25
630,2022,September,6,28
631,2022,September,13,24
632,2022,September,5,34
633,2022,September,10,25
634,2022,September,3,41
635,2022,September,16,23
636,2022,September,7,24
637,2022,September,1,40
638,2022,September,22,35
639,2022,September,19,24
640,2022,September,12,24
641,2022,September,15,24
642,2022,September,21,32
643,2022,September,11,25
644,2022,September,8,24
645,2022,September,2,40
646,2022,September,17,21
647,2022,September,23,38
648,2021,October,23,35
649,2021,October,22,33
650,2021,October,9,24
651,2021,October,13,22
652,2021,October,10,24
653,2021,October,6,30
654,2021,October,17,23
655,2021,October,8,25
656,2021,October,21,31
657,2021,October,7,26
658,2021,October,16,24
659,2021,October,18,23
660,2021,October,14,23
661,2021,October,5,35
662,2021,October,3,40
663,2021,October,12,22
664,2021,October,0,37
665,2021,October,4,39
666,2021,October,2,40
667,2021,October,19,25
668,2021,October,20,28
669,2021,October,1,39
670,2021,October,11,23
671,2021,October,15,24
672,2020,October,13,26
673,2020,October,16,27
674,2020,October,19,29
675,2020,October,12,26
676,2020,October,2,44
677,2020,October,11,26
678,2020,October,0,41
679,2020,October,20,31
680,2020,October,22,36
681,2020,October,1,43
682,2020,October,17,27
683,2020,October,9,28
684,2020,October,8,29
685,2020,October,15,28
686,2020,October,4,44
687,2020,October,5,41
688,2020,October,21,33
689,2020,October,23,39
690,2020,October,3,44
691,2020,October,18,27
692,2020,October,14,28
693,2020,October,10,27
694,2020,October,6,35
695,2020,October,7,31
696,2022,October,2,40
697,2022,October,5,34
698,2022,October,8,25
699,2022,October,4,39
700,2022,October,17,22
701,2022,October,7,25
702,2022,October,1,39
703,2022,October,21,32
704,2022,October,9,26
705,2022,October,18,22
706,2022,October,23,37
707,2022,October,3,40
708,2022,October,12,24
709,2022,October,6,29
710,2022,October,16,24
711,2022,October,19,25
712,2022,October,20,29
713,2022,October,11,25
714,2022,October,15,25
715,2022,October,0,38
716,2022,October,10,26
717,2022,October,22,34
718,2022,October,14,26
719,2022,October,13,24
720,2021,November,14,23
721,2022,November,19,24
722,2021,November,9,23
723,2022,November,13,24
724,2021,November,16,24
725,2022,November,23,37
726,2021,November,1,39
727,2022,November,17,21
728,2022,November,14,25
729,2022,November,2,40
730,2022,November,10,25
731,2021,November,10,23
732,2022,November,1,39
733,2022,November,16,23
734,2021,November,0,38
735,2021,November,18,22
736,2021,November,22,34
737,2021,November,6,30
738,2022,November,8,24
739,2021,November,20,28
740,2021,November,11,23
741,2021,November,8,24
742,2022,November,4,39
743,2022,November,18,21
744,2021,November,13,22
745,2022,November,5,34
746,2022,November,7,25
747,2022,November,22,34
748,2022,November,3,41
749,2021,November,5,35
750,2022,November,6,29
751,2022,November,15,25
752,2022,November,9,25
753,2022,November,0,38
754,2021,November,12,22
755,2021,November,19,25
756,2021,November,17,23
757,2022,November,21,32
758,2021,November,7,25
759,2021,November,4,40
760,2021,November,15,24
761,2022,November,11,25
762,2021,November,21,32
763,2022,November,12,24
764,2021,November,23,36
765,2021,November,2,40
766,2021,November,3,41
767,2022,November,20,29
768,2020,November,17,25
769,2020,November,18,25
770,2020,November,3,44
771,2020,November,21,33
772,2020,November,10,26
773,2020,November,16,26
774,2020,November,9,27
775,2020,November,11,25
776,2020,November,15,27
777,2020,November,22,36
778,2020,November,4,44
779,2020,November,0,41
780,2020,November,5,41
781,2020,November,8,29
782,2020,November,1,43
783,2020,November,14,25
784,2020,November,2,44
785,2020,November,12,25
786,2020,November,6,35
787,2020,November,20,30
788,2020,November,13,24
789,2020,November,19,27
790,2020,November,23,39
791,2020,November,7,30
792,2021,December,9,25
793,2021,December,2,40
794,2021,December,10,25
795,2021,December,8,27
796,2021,December,17,24
797,2021,December,22,33
798,2021,December,13,23
799,2021,December,12,23
800,2021,December,20,27
801,2021,December,1,39
802,2021,December,14,24
803,2021,December,0,37
804,2021,December,11,24
805,2021,December,6,32
806,2021,December,5,36
807,2021,December,18,23
808,2021,December,19,24
809,2021,December,23,35
810,2021,December,16,25
811,2021,December,3,42
812,2021,December,4,40
813,2021,December,21,30
814,2021,December,7,28
815,2021,December,15,25
816,2020,December,1,43
817,2020,December,7,32
818,2020,December,3,45
819,2020,December,6,36
820,2020,December,0,41
821,2020,December,14,26
822,2020,December,16,27
823,2020,December,22,35
824,2020,December,10,27
825,2020,December,12,25
826,2020,December,13,25
827,2020,December,9,28
828,2020,December,5,43
829,2020,December,11,26
830,2020,December,2,44
831,2020,December,21,32
832,2020,December,23,38
833,2020,December,19,27
834,2020,December,18,26
835,2020,December,4,45
836,2020,December,17,26
837,2020,December,15,27
838,2020,December,20,29
839,2020,December,8,30
